index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/20 02:37:01.701, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:37:01.703, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:38:01.704, 22.22 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:38:01.706, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:39:01.707, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:39:01.709, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:40:01.710, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:40:01.712, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:41:01.714, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:41:01.715, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:42:01.717, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:42:01.718, 1.07 W, 35, 0 %, 21 MiB
0, 2023/03/20 02:43:01.720, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:43:01.721, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:44:01.723, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:44:01.724, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:45:01.726, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:45:01.727, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:46:01.729, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:46:01.730, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:47:01.732, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:47:01.733, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:48:01.735, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:48:01.736, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:49:01.738, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:49:01.739, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:50:01.741, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:50:01.742, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:51:01.744, 21.74 W, 30, 0 %, 5 MiB
