index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
1, 2023/03/17 02:22:05.084, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:23:05.090, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:23:05.093, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:24:05.096, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:24:05.118, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:25:05.123, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:25:05.128, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:26:05.133, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:26:05.136, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:27:05.164, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:27:05.191, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:28:05.197, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:28:05.200, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:29:05.222, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:29:05.225, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:30:05.247, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:30:05.256, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:31:05.284, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:31:05.288, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:32:05.293, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:32:05.296, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:33:05.321, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:33:05.327, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:34:05.333, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:34:05.346, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:35:05.352, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:35:05.377, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:36:05.406, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:36:05.417, 24.23 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:37:05.443, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:37:05.447, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:38:05.462, 24.75 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:38:05.472, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:39:05.499, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:39:05.517, 24.34 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:40:05.545, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:40:05.549, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:41:05.569, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:41:05.575, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:42:05.581, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:42:05.585, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:43:05.610, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:43:05.613, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:44:05.639, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:44:05.663, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:45:05.668, 24.76 W, 44, 0 %, 0 MiB
1, 2023/03/17 02:45:05.672, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:46:05.675, 24.94 W, 44, 0 %, 0 MiB
1, 2023/03/17 02:46:05.697, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:47:05.703, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:47:05.707, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:48:05.730, 24.76 W, 44, 0 %, 0 MiB
1, 2023/03/17 02:48:05.734, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:49:05.740, 24.75 W, 44, 0 %, 0 MiB
1, 2023/03/17 02:49:05.752, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:50:05.758, 24.85 W, 44, 0 %, 0 MiB
1, 2023/03/17 02:50:05.761, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:51:05.765, 24.76 W, 45, 0 %, 0 MiB
