index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/16 05:22:04.537, 256.72 W, 64, 100 %, 4384 MiB
0, 2023/03/16 05:23:04.539, 256.23 W, 63, 100 %, 4384 MiB
0, 2023/03/16 05:24:04.540, 259.65 W, 64, 100 %, 4420 MiB
0, 2023/03/16 05:25:04.542, 263.83 W, 64, 100 %, 4422 MiB
0, 2023/03/16 05:26:04.543, 264.47 W, 64, 100 %, 4426 MiB
0, 2023/03/16 05:27:04.545, 258.61 W, 63, 100 %, 4430 MiB
0, 2023/03/16 05:28:04.547, 258.47 W, 63, 100 %, 4454 MiB
0, 2023/03/16 05:29:04.548, 252.28 W, 63, 100 %, 4454 MiB
0, 2023/03/16 05:30:04.550, 259.68 W, 63, 100 %, 4454 MiB
0, 2023/03/16 05:31:04.552, 255.40 W, 63, 100 %, 4454 MiB
0, 2023/03/16 05:32:04.554, 268.31 W, 64, 100 %, 4396 MiB
0, 2023/03/16 05:33:04.556, 258.18 W, 64, 100 %, 4384 MiB
0, 2023/03/16 05:34:04.557, 264.14 W, 64, 100 %, 4387 MiB
